sigma_rate,exp_b,beta
0.7237094,1.9268796,2.3748589
0.8208861,2.1439722,2.300826
0.76112676,2.2566772,2.337467
0.83518684,1.7899038,2.488184
0.8044363,2.085913,2.4840338
0.84728914,2.1598394,2.407612
0.87896526,1.9226019,2.4805517
0.75831896,1.9812193,2.4246407
0.77363354,1.9663348,2.453284
0.8306803,1.7797313,2.4835722
0.79376215,1.7370367,2.4415364
0.85234654,1.730436,2.437376
0.8473667,1.8400934,2.4475706
0.9217861,1.7704961,2.4413524
0.83419466,1.9178038,2.5277262
0.9016732,1.866159,2.43894
0.7961789,1.7726064,2.4602015
0.75257987,1.8117758,2.4076672
0.87843895,1.9553956,2.4405437
0.8196157,1.793211,2.3241003
0.84574044,1.7962296,2.421444
0.9627321,1.7571626,2.5000648
0.8706317,1.9590579,2.5417929
0.68821406,2.0840786,2.3208702
0.9112368,1.8588022,2.4271064
0.7726676,2.008132,2.3966072
