sigma_rate,exp_b,beta
1.1155174,1.7371818,2.407632
1.1505759,1.8026946,2.3472562
1.151057,1.6805217,2.3865302
1.1520034,1.716291,2.3898966
1.1504714,1.7958016,2.436304
1.1968621,1.7031044,2.3020644
1.0550549,1.7023146,2.3638594
1.1205986,1.7117465,2.2832048
1.0918188,1.7445626,2.412886
1.2664628,1.6492171,2.2387316
1.1706948,1.577969,2.3117747
1.1169845,1.5716139,2.2800055
1.1567328,1.60733,2.4282262
1.2099286,1.6243262,2.313508
1.1708897,1.7006505,2.3546758
1.0860423,1.6222142,2.3574746
1.2286247,1.53148,2.378111
1.2154858,1.677877,2.367624
1.1414176,1.7488122,2.3540585
1.119728,1.6956433,2.2887318
1.1461744,1.6302086,2.4519603
1.1743693,1.6780088,2.3075418
1.1169494,1.7390943,2.2911282
1.0941881,1.6967696,2.3470018
1.093757,1.8112311,2.3870676
1.168641,1.6176085,2.3698933
1.2190971,1.5146161,2.2949505
1.2385085,1.6551266,2.3598533
1.1818916,1.7683196,2.3575387
1.1656841,1.8027152,2.2670548
1.2375386,1.7111282,2.2759552
1.1950747,1.7596027,2.279005
1.0779998,1.9081051,2.4208333
1.0102898,1.7859752,2.3354452
1.2610935,1.5100595,2.3096952
1.1312197,1.6984856,2.389498
1.1750305,1.5894232,2.4089053
1.116792,1.843933,2.2931755
1.1521496,1.766189,2.4380417
1.1226504,1.865145,2.3358567
1.0009291,1.6103367,2.371804
1.1485676,1.6280934,2.302496
1.130955,1.6087906,2.37839
1.0790275,1.580018,2.4380405
1.2106545,1.5980457,2.3084686
1.1791979,1.7554843,2.2996106
1.189833,1.5725939,2.346876
1.1961944,1.6924056,2.3124187
1.1666546,1.703063,2.3046637
1.1797409,1.6117327,2.3405669
1.1794578,1.7713616,2.3024085
1.1286674,1.6520445,2.3464596
1.1804582,1.7989365,2.395227
1.0664177,1.8520854,2.3759
1.1780367,1.6582828,2.2852426
1.2666606,1.533146,2.289554
1.2074795,1.6041863,2.337361
1.1702969,1.675717,2.2822185
1.066223,1.6539526,2.360285
1.1079353,1.6992711,2.3466318
1.1495771,1.782401,2.5068429
1.167817,1.6891799,2.287027
1.1756417,1.6938418,2.354636
1.1964911,1.7037525,2.2477608
1.1728958,1.6284925,2.3304894
1.121159,1.607377,2.341936
1.2646965,1.7758597,2.2627892
1.1671041,1.6168324,2.3048954
1.2411644,1.5932167,2.29739
1.2640496,1.538083,2.2725968
1.1881216,1.7577721,2.3097365
1.1671056,1.7469232,2.264774
1.0777515,1.6355339,2.4158027
1.1674076,1.6585221,2.343244
1.1382372,1.8258452,2.3242655
1.1544325,1.5418601,2.299701
1.1261033,1.7730395,2.4563115
1.1447546,1.6159964,2.300147
1.1648468,1.6454102,2.3237743
1.1208647,1.7753185,2.2739856
1.1735766,1.5783123,2.3502216
1.1966088,1.5758289,2.2332864
1.061689,1.7476991,2.2885203
1.0619264,1.8604958,2.2847888
1.1986983,1.7967374,2.2720995
1.0561302,1.7023798,2.4952018
1.1786302,1.7870165,2.383919
1.22816,1.6462333,2.2441833
1.2422037,1.7372888,2.237173
1.1649045,1.6384659,2.2892938
1.2173947,1.6274773,2.2327516
1.0782261,1.7871217,2.3334827
1.0775042,1.712378,2.4560342
1.1211567,1.7776592,2.349817
1.2324157,1.6406258,2.3725502
1.2473167,1.6539124,2.3643727
1.1593428,1.5822432,2.4343486
1.253705,1.7212998,2.2271736
1.2082381,1.7297727,2.2894588
