sigma_rate,exp_a,exp_b,beta
0.25012589,-0.95992243,0.77661455,2.5555778
0.35848242,-0.99237585,0.9365683,2.5622768
0.2838349,-0.9648564,0.90917635,2.4673302
0.29427648,-1.0651435,0.8828075,2.5110562
0.3265958,-0.99015033,0.9194056,2.5881503
0.3987306,-0.97715086,0.94144374,2.5179124
0.33579093,-1.0184202,0.99020076,2.3517962
0.32177052,-1.0484834,1.1228273,2.5386028
0.2891914,-0.9581632,1.016985,2.5694926
0.37445772,-1.0010327,0.76401466,2.5313456
0.34402484,-1.1399767,0.9257234,2.4692986
0.28036416,-0.947462,0.96448725,2.4916468
0.23742959,-1.0621134,0.7048274,2.4756231
0.30593407,-0.9717636,1.0091593,2.5371912
0.30097598,-1.0221397,0.8317399,2.6052861
0.32292116,-1.0043402,0.77160114,2.498933
0.30764854,-1.0580766,0.57321215,2.596735
0.3441716,-0.9569566,0.8095191,2.5753949
0.30673736,-0.9182644,1.0290593,2.5006344
0.29999447,-1.0133659,0.8822106,2.5121336
0.30602092,-1.1771178,0.81811017,2.6192205
0.3960449,-1.0904151,0.6884035,2.4768715
0.38808632,-0.93706816,0.9526781,2.5676541
0.3102133,-0.92076236,0.94933486,2.4941397
0.33919019,-1.0949615,1.0994116,2.4297497
0.29438245,-1.0152606,0.8768292,2.4412844
0.41423947,-1.0072085,0.73648953,2.4587271
0.33335266,-1.0971525,0.84093076,2.5128763
0.30575234,-1.0587825,0.7247774,2.4876935
0.28017345,-1.0789537,0.89590245,2.3815224
0.40510526,-1.0077484,0.8117057,2.3688312
0.31718636,-1.1315372,0.74022675,2.3263888
0.3331991,-1.0599326,1.0787256,2.252447
0.34296697,-1.0135146,0.8415307,2.4372792
0.293955,-0.9621685,1.0242846,2.5713968
0.27393937,-1.0920252,0.9961041,2.409845
0.311202,-1.0833554,0.8294776,2.475622
0.28623855,-0.94755363,0.77649057,2.4297652
0.29027256,-1.0645243,1.0205702,2.590723
0.3268511,-1.0088089,0.86809313,2.5322795
0.34818086,-1.0355585,0.95834833,2.5907109
0.33750483,-1.1502198,0.9077849,2.508429
