sigma_rate,exp_b,beta
-0.03696587,2.8095236,2.9507332
-0.08524446,2.5211768,2.9076662
-0.02852051,2.6229455,2.9200053
0.07931651,2.7153883,2.9194589
-0.09685615,2.9190269,2.9474323
-0.0011909064,2.5000315,2.9269009
-0.046054706,2.6650782,2.9262996
-0.016915675,2.6068537,2.803472
-0.025222562,2.6001112,3.0935
-0.002195416,2.5315282,3.0520875
-0.07426455,2.4006646,2.8397846
-0.074592255,2.7634678,2.950569
0.0026396997,2.726818,2.9508998
-0.06966941,2.611389,2.9517126
-0.057116263,2.674243,2.9356973
-0.04581882,2.6407015,3.0032187
0.008575616,2.6723127,2.9317434
-0.015419284,2.6512737,2.8505738
-0.12777819,2.2795186,2.8196485
-0.004966747,2.803111,2.9237816
-0.05420357,2.7201777,2.852749
0.027291706,3.082092,2.9124124
0.011853507,2.6082785,2.9732683
0.08124565,2.9999378,3.0023448
-0.03154881,2.4009404,2.8905067
-0.081234284,2.7132072,2.904263
-0.01217321,2.6893268,2.9119499
0.0003121458,2.8429554,3.01271
-0.037213124,2.8124695,3.0439491
0.02484803,2.6882489,2.9439049
-0.064635605,2.6874483,2.870323
-0.017742038,2.7097385,3.0050359
-0.0695349,2.808956,2.9475627
-0.028571531,2.6740105,2.8434324
-0.009533217,2.756438,2.9467418
-0.020046381,3.1061401,2.9621532
-0.06046132,2.3730934,2.789415
-0.034775842,2.6331263,2.870817
0.05338268,2.5738206,3.0363784
-0.005499676,2.7767098,2.9388478
-0.0306555,2.5188124,2.9231925
0.066083014,2.8677385,2.8666077
-0.039871972,2.7598875,2.97841
0.009299027,2.6927662,2.9186132
-0.055855066,2.6249893,2.8531003
-0.08281031,2.334894,2.8485913
-0.06737471,2.8262115,2.8892622
0.024405105,2.5146022,2.9382987
0.041155055,2.8780532,3.0265937
-0.06656173,2.7392836,2.7974215
-0.09317396,2.4679909,2.8529282
-0.034975074,2.7652595,2.890961
0.032517515,2.964589,2.9458594
-0.02740463,2.6815171,2.910263
0.029301206,2.8057556,2.9390945
-0.060404375,2.513941,2.8710945
-0.05832459,2.678976,2.9156756
-0.028088907,2.4180846,2.9005759
0.014953004,2.680931,2.9405923
-0.04712031,2.5318236,3.0186653
0.079246625,2.9248993,2.9773517
-0.0028725471,2.757065,3.0015984
-0.043081515,2.5021756,2.8493552
-0.109137885,2.570407,2.7865982
-0.078231,2.445743,2.8903375
-0.02340156,2.5804653,2.8434622
0.0032989215,2.818909,2.9843411
-0.04811738,2.58814,2.8605194
0.06368771,2.7686656,2.9347427
-5.1125884e-05,2.8109245,2.9255025
-0.027605383,2.8248262,2.8210115
9.271689e-05,2.5401163,3.012361
-0.08443904,2.536681,2.8929193
-0.016296826,2.647092,2.8860629
-0.00814753,2.7193315,2.9280238
-0.019044751,2.9503677,3.0018039
-0.083157845,2.6133792,2.8952305
-0.043449588,2.405907,2.980694
-0.0681047,2.6855862,2.7941065
-0.07501457,2.6460261,2.871744
-0.020870615,2.869659,2.9135869
-0.031913996,2.6971815,2.9174035
-0.06331035,2.9679055,2.9890559
-0.028137682,2.4074113,2.935521
-0.03566086,2.4285095,2.854899
-0.030962776,2.5655422,2.9093132
-0.08475483,2.9334333,2.9432309
-0.037678316,2.7548366,2.877412
-0.061595075,2.8999271,2.9405107
-0.10234292,2.2273986,2.8699102
-0.07821869,2.5251799,2.9604485
-0.038065895,2.589968,2.9091063
-0.04812246,2.8109157,2.8852322
0.0017784778,2.7516885,3.0115943
-0.050557874,2.5819082,2.9147694
-0.09714405,2.5570998,2.9858382
-0.043622047,2.716875,2.9164476
0.046372116,2.5595274,2.9666147
-0.0046029985,2.5945163,2.9338405
-0.042637542,2.7274828,2.9008598
0.01170283,2.7612565,2.8511057
-0.063017204,2.7166367,3.0155673
-0.03346445,2.5423286,2.9132717
-0.063362196,2.7693088,2.7796228
0.017128764,2.6348405,2.8762748
-0.02248694,2.46751,2.9065263
0.0026888344,2.703344,3.0000057
0.008918172,2.6708164,2.8924184
-0.124169745,2.8632545,2.9022632
-0.091415145,2.6438262,2.936292
-0.02118487,2.7583573,2.918465
-0.06417394,2.536031,2.884524
-0.120887086,2.9613566,2.9231086
-0.055489957,2.3527656,2.872831
-0.044409096,2.7714765,2.9003093
-0.026782557,2.7111006,2.8382523
-0.025837645,2.591395,2.936598
-0.029335078,2.5635667,2.980179
0.036097206,2.556002,2.9283242
-0.08417735,2.7760446,2.900628
-0.042569503,2.6907084,2.9382617
-0.10624771,2.7353625,2.871274
-0.11202547,2.3719623,2.9296334
0.05335456,2.8588614,2.9879348
-0.068485945,2.718585,2.8850255
-0.006995097,2.6482246,2.9143128
0.032096438,2.8600383,2.98736
-0.031464893,2.6178772,3.0161133
-0.010366919,2.651131,2.9862096
0.053021446,2.7706048,3.056813
-0.07378211,2.464578,2.8413556
-0.0059290957,2.729263,2.9555347
-0.023209237,2.7353692,2.9449522
-0.052656673,2.3717139,2.9811375
-0.04710146,2.675815,2.940476
-0.079739936,2.574248,2.8843427
-0.048302524,2.8255496,2.8737879
-0.08034015,2.5289283,3.0037792
0.052125044,2.6827092,2.9422567
0.03668707,2.9026797,2.8967795
0.053115644,2.7297294,2.9858894
-0.031071818,2.6576126,2.868546
-0.022902284,2.5840743,2.8181055
0.027133187,2.5076904,2.9236186
-0.031563412,2.639071,2.8726108
0.023512455,2.7075458,2.9679067
-0.08701069,2.7568672,2.8116012
-0.041666284,2.8207493,2.9807808
-0.11595451,2.700689,2.8989246
