sigma_rate,exp_a,exp_b,beta
1.067859,0.4264911,1.6200463,2.5275898
1.0633339,0.36798054,1.6914757,2.4742153
1.1228311,0.34050366,1.727614,2.4513829
1.0753678,0.24865931,1.7828602,2.4000714
1.1608506,0.29269522,1.7527989,2.3550851
1.1229234,0.4290731,1.6374373,2.3188357
1.0635053,0.3780872,1.6477729,2.3829672
1.0915314,0.34816512,1.668385,2.3635895
1.1133038,0.33802095,1.7938001,2.4308565
1.1183673,0.34414336,1.6670547,2.4245317
1.103019,0.27442965,1.8470347,2.3458622
1.1270559,0.341244,1.6966492,2.3870676
1.127295,0.3662624,1.6536156,2.4041245
1.0403154,0.32375392,1.6712676,2.378063
1.1217526,0.36022234,1.7719989,2.3296013
1.1048676,0.4425548,1.6058537,2.436393
1.1200433,0.39783016,1.525595,2.3976393
1.0810176,0.36126947,1.7018417,2.4536767
1.1350988,0.37827513,1.7143066,2.4309256
1.0589106,0.2947886,1.6712271,2.367773
1.066341,0.37043124,1.7933639,2.4542685
1.0889246,0.40309227,1.7880858,2.510487
1.1127687,0.4284716,1.6732091,2.4208794
1.0785116,0.35277492,1.6634612,2.4421332
1.1153564,0.3535405,1.7459568,2.3908584
1.1151441,0.37959686,1.6512514,2.3987
1.1019927,0.35547066,1.7101446,2.385768
1.1183546,0.35836577,1.6563611,2.4392014
1.0994359,0.34875482,1.6918806,2.4930673
1.1053872,0.38648874,1.6418025,2.345784
1.1157053,0.41983697,1.6129194,2.3495622
1.0763806,0.30026832,1.7318196,2.387322
1.1336364,0.28090256,1.7332402,2.4182975
1.1125159,0.3959865,1.6930931,2.4539132
1.1175355,0.40772343,1.7024227,2.454961
1.1220192,0.38566872,1.6469663,2.4542744
1.1122937,0.3806475,1.615969,2.3666039
1.0510669,0.24788804,1.6049868,2.3638394
1.090904,0.39672053,1.5900874,2.4561245
1.1600677,0.35861897,1.8345478,2.4476163
1.1327834,0.33020094,1.6422935,2.345931
1.0828961,0.38699254,1.5661236,2.3424993
1.1009307,0.3090822,1.5805887,2.4063015
1.0894707,0.36944115,1.6732512,2.3621747
1.1136739,0.32422674,1.664652,2.312564
1.1152638,0.40919462,1.6009489,2.431578
1.1045417,0.39768794,1.7511772,2.3182845
1.0375723,0.32323804,1.6286876,2.3441503
1.0943366,0.37788326,1.6610924,2.3997762
1.1030728,0.45002633,1.5825412,2.5083828
1.1093967,0.3981761,1.573752,2.361383
1.1156484,0.3960625,1.6398782,2.4192543
1.0785855,0.4214287,1.6123092,2.439338
1.1243759,0.40652224,1.776957,2.4376235
1.1402742,0.39630932,1.6446677,2.4009278
1.0817258,0.3559683,1.771275,2.4568784
1.0976735,0.45901948,1.5899523,2.431095
1.1539946,0.3836382,1.6361727,2.4767563
1.0701233,0.2685742,1.742575,2.3424802
1.1159335,0.4516468,1.5692331,2.4431705
1.1011589,0.40648857,1.6457087,2.464346
1.0824778,0.40319774,1.6095238,2.332139
1.097863,0.36300892,1.6840299,2.357427
1.0854685,0.33500355,1.6959013,2.2899997
1.0938792,0.41854066,1.6188757,2.3494172
1.1276007,0.37401453,1.7432677,2.3769262
1.0867742,0.36928198,1.6126814,2.5229053
1.0880382,0.37928367,1.7195139,2.4412746
1.1308192,0.41181326,1.6721259,2.4270372
1.047965,0.34465092,1.7028149,2.3474195
1.0907284,0.46337667,1.5693071,2.4654872
1.0974566,0.32834244,1.781708,2.3640962
1.1073927,0.34718552,1.7368509,2.4305708
1.1038665,0.39006788,1.5744435,2.4231575
1.1374123,0.3869286,1.631546,2.4034278
1.0720457,0.35593557,1.6922189,2.4448383
